n,Unnamed: 0,Country,Track_Name,Artist_Name,Album_Name,Popularity,Date,Markets,Danceability,Acousticness,duration,Energy,Speechiness,Tempo,Positiveness
329,1579,HUN,gát,Azahriah,memento,61,2023-05-01,AR,0.77,0.349,189784,0.812,0.114,104.067,0.563
330,1580,HUN,Vois sur ton chemin - Techno Mix,BENNETT,Vois sur ton chemin (Techno Mix),91,2023-08-04,AR,0.634,0.0908,178156,0.824,0.047,137.959,0.371
331,1581,HUN,vicc,Azahriah,tripq,61,2023-08-24,AR,0.668,0.304,158049,0.677,0.236,163.934,0.581
332,1582,HUN,Rét,Azahriah,Rét,59,2021,AR,0.474,0.438,179235,0.711,0.0862,81.993,0.722
333,1583,HUN,Tisztán iszom,Azahriah,A ló túloldalán,59,2022-05-20,AR,0.446,0.644,180750,0.655,0.0439,162.924,0.894
334,1584,HUN,Mind1,Azahriah,A ló túloldalán,57,2022-05-20,AR,0.741,0.548,191538,0.658,0.0717,103.942,0.467
335,1585,HUN,szosziazi,Azahriah,memento,59,2023-05-01,AR,0.771,0.135,206038,0.615,0.19,105.993,0.406
336,1586,HUN,bulbaba,Azahriah,tripq,61,2023-08-24,AR,0.81,0.701,125825,0.674,0.144,103.09,0.242
337,1587,HUN,SHYSHY,Grasa,SHYSHY,51,2023-11-01,AR,0.681,0.00121,224578,0.523,0.336,156.034,0.397
338,1588,HUN,Mesélek a bornak,4s Street,Szebb napok,53,2021-12-14,AR,0.661,0.912,217000,0.373,0.0419,119.686,0.226
339,1589,HUN,Latyo és haze,Kain,Focus,59,2023-01-13,AR,0.824,0.0725,153650,0.536,0.143,125.046,0.419
340,1590,HUN,Smash!,Ekhoe,Sose Alszok,60,2023-04-07,AR,0.763,0.193,144000,0.531,0.124,80.023,0.217
341,1591,HUN,Gang John Lennon,BSW,Gang John Lennon,54,2023-10-25,AR,0.881,0.229,161176,0.684,0.164,102.022,0.446
342,1592,HUN,MENTALITAT,LMEN PRALA,MENTALITAT,57,2023-09-15,AR,0.805,0.429,152619,0.635,0.0736,126.016,0.41
343,1593,HUN,Afro Beat,Pogány Induló,Megáll Az Idő,35,2023-02-25,AR,0.858,0.0481,192000,0.436,0.108,125.002,0.0988
344,1594,HUN,Százszorszép,Ekhoe,Sose Alszok,59,2023-04-07,AR,0.65,0.149,146014,0.465,0.0828,142.837,0.202
345,1595,HUN,24 karát,Young Fly,24 karát,58,2021-12-31,AR,0.813,0.245,128582,0.682,0.157,151.072,0.537
346,1596,HUN,Gurulgatok,VZS,Gurulgatok,58,2023-09-20,AR,0.926,0.0952,147097,0.556,0.178,92.999,0.621
347,1597,HUN,Daylight,David Kushner,Daylight,95,2023-04-14,AR,0.508,0.83,212954,0.43,0.0335,130.09,0.324
348,1598,HUN,Prada,cassö,Prada,94,2023-08-11,AR,0.638,0.001,132359,0.717,0.0375,141.904,0.422
349,1599,HUN,Nagy a zaj,Aza,Nagy a zaj,54,2023-10-20,AR,0.764,0.147,180000,0.638,0.175,120.022,0.458
"350,1850,ITA,""EVERYDAY (feat. Shiva, ANNA, Geolier)"",Takagi & Ketra,""EVERYDAY (feat. Shiva, ANNA, Geolier)"",84,2023-10-13,AR,0.748,0.499,190189,0.516,0.1,78.038,0.465"
351,1851,ITA,Cadillac (feat. Artie 5ive),Boro,Cadillac (feat. Artie 5ive),81,2023-09-21,AR,0.805,0.13,155526,0.873,0.187,94.976,0.21
352,1852,ITA,RESPIRA (feat. Marracash),Salmo,CVLT,73,2023-11-03,AR,0.718,0.135,223413,0.925,0.343,124.967,0.653
353,1853,ITA,Si No Estás,iñigo quintero,Si No Estás,99,2022-09-23,AR,0.537,0.827,184061,0.421,0.0285,98.224,0.524
