n,Unnamed: 0,Country,Track_Name,Artist_Name,Album_Name,Popularity,Date,Markets,Danceability,Acousticness,duration,Energy,Speechiness,Tempo,Positiveness
50,1050,ESP,Si No Estás,iñigo quintero,Si No Estás,99,2022-09-23,AR,0.537,0.827,184061,0.421,0.0285,98.224,0.524
51,1051,ESP,PERRO NEGRO,Bad Bunny,nadie sabe lo que va a pasar mañana,97,2023-10-13,AR,0.911,0.0887,162768,0.778,0.262,96.057,0.345
52,1052,ESP,Lollipop,Darell,EVERYBODY GO TO THE DISCOTEK,95,2023-07-28,AR,0.822,0.179,199947,0.711,0.0668,102.984,0.934
53,1053,ESP,OA,Anuel AA,OA,86,2023-10-13,AR,0.813,0.17,235200,0.866,0.0851,99.994,0.647
54,1054,ESP,REINA,Mora,ESTRELLA,88,2023-08-28,AR,0.724,0.632,211879,0.578,0.0819,167.985,0.757
55,1055,ESP,Columbia,Quevedo,Columbia,95,2023-07-07,AR,0.668,0.369,186000,0.712,0.0381,100.02,0.264
56,1056,ESP,MODELITO,Mora,PARAÍSO,85,2022-11-03,AR,0.711,0.191,190497,0.752,0.2,145.047,0.528
57,1057,ESP,El Mambo,Kiko Rivera,El Mambo,83,2023-07-13,AR,0.884,0.0406,129846,0.718,0.0763,139.991,0.729
58,1058,ESP,DILUVIO,Rauw Alejandro,PLAYA SATURNO,85,2023-07-07,AR,0.845,0.343,197053,0.795,0.0681,94.969,0.681
59,1059,ESP,MONACO,Bad Bunny,nadie sabe lo que va a pasar mañana,98,2023-10-13,AR,0.787,0.15,267194,0.621,0.068,139.056,0.13
60,1060,ESP,SEDA,Bad Bunny,nadie sabe lo que va a pasar mañana,90,2023-10-13,AR,0.706,0.268,190476,0.566,0.126,125.876,0.23
61,1061,ESP,Buenas,Quevedo,Buenas,86,2023-09-22,AR,0.625,0.247,192955,0.755,0.0724,87.948,0.429
62,1062,ESP,LALA,Myke Towers,LA VIDA ES UNA,97,2023-03-23,AR,0.708,0.0739,197920,0.737,0.0436,91.986,0.607
63,1063,ESP,COSAS QUE NO TE DIJE,Saiko,COSAS QUE NO TE DIJE,81,2021-09-17,AR,0.616,0.563,224726,0.673,0.0327,99.971,0.21
64,1064,ESP,POLARIS - Remix,Saiko,POLARIS (Remix),86,2023-06-08,AR,0.623,0.153,288000,0.799,0.0713,169.901,0.552
65,1065,ESP,Holanda,Jhayco,Holanda,92,2023-07-28,AR,0.831,0.277,231693,0.759,0.0502,107.961,0.244
66,1066,ESP,Quien Es Dei V?,Dei V,Quien Es Dei V?,82,2023-03-17,AR,0.557,0.481,162245,0.744,0.344,100.247,0.7
67,1067,ESP,La_Original.mp3,Emilia,.mp3,71,2023-11-03,AR,0.833,0.0836,140625,0.809,0.0381,128.055,0.905
68,1068,ESP,lady madrizZz,céro,lady madrizZz,70,2023-09-01,AR,0.768,0.489,131020,0.295,0.0735,98.084,0.791
69,1069,ESP,,,,0,0000,,0.716,0.0124,220667,0.824,0.0497,89.991,0.541
70,1070,ESP,NO PIENSO LLAMAR,Soge Culebra,STORM,68,2023-10-13,AR,0.679,0.181,198353,0.556,0.148,169.997,0.583
71,1071,ESP,HIBIKI,Bad Bunny,nadie sabe lo que va a pasar mañana,92,2023-10-13,AR,0.801,0.604,208000,0.645,0.0706,119.935,0.528
72,1072,ESP,QLONA,KAROL G,MAÑANA SERÁ BONITO (BICHOTA SEASON),94,2023-08-10,AR,0.841,0.52,172798,0.738,0.307,169.918,0.484
73,1073,ESP,Madrid City,Ana Mena,Madrid City,76,2023-09-29,AR,0.73,0.0272,172727,0.87,0.0561,132.011,0.184
"74,1074,ESP,LUCES DE TECNO,Feid,""MOR, No Le Temas a La Oscuridad"",82,2023-09-29,AR,0.643,0.142,164293,0.651,0.601,130.019,0.324"
75,1075,ESP,BABY HELLO,Rauw Alejandro,PLAYA SATURNO,79,2023-07-07,AR,0.773,0.164,222462,0.893,0.0483,130.013,0.842
